Sl_No,District,Market,Commodity,Variety,Grade,Min_Price_Rs,Max_Price_Rs,Modal_Price_Rs,Date
395,Ratlam,A lot,Wheat,Medium,FAQ,2750,2802,2781,2023-01-22
2110,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2600,2850,2750,2023-01-22
396,Ratlam,A lot,Wheat,Medium,FAQ,2813,3111,2850,2023-01-23
2114,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2672,2938,2805,2023-01-23
3798,Ratlam,Sailana,Wheat,Other,FAQ,2681,3140,2800,2023-01-23
1120,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2880,3370,2900,2023-01-23
4694,Ratlam,Taal,Wheat,Other,FAQ,2710,2980,2850,2023-01-23
183,Ratlam,A lot,Wheat,Medium,FAQ,1700,2951,2840,2023-01-24
1116,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2700,3300,2800,2023-01-24
2117,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2862,3046,2910,2023-01-24
3740,Ratlam,Sailana,Wheat,Other,FAQ,2300,3070,2950,2023-01-24
397,Ratlam,A lot,Wheat,Medium,FAQ,2900,2977,2945,2023-01-25
2118,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2863,3100,2970,2023-01-25
3800,Ratlam,Sailana,Wheat,Other,FAQ,2723,3090,3000,2023-01-25
2115,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2700,2900,2800,2023-01-26
398,Ratlam,A lot,Wheat,Medium,FAQ,2900,2977,2977,2023-01-26
1115,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2700,3211,2800,2023-01-27
3781,Ratlam,Sailana,Wheat,Other,FAQ,2500,2936,2930,2023-01-27
4458,Ratlam,Taal,Wheat,Medium,FAQ,2526,2780,2620,2023-01-27
2116,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2713,3003,2825,2023-01-27
2076,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2510,2810,2700,2023-01-28
1100,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2600,2600,2600,2023-01-28
2102,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2550,2800,2690,2023-01-29
1101,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2600,2600,2600,2023-01-29
2095,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2542,2891,2767,2023-01-30
1078,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2550,2931,2600,2023-01-30
3780,Ratlam,Sailana,Wheat,Other,FAQ,2500,2900,2800,2023-01-30
4445,Ratlam,Taal,Wheat,Medium,FAQ,2400,2751,2575,2023-01-30
1079,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2550,2950,2600,2023-01-31
3789,Ratlam,Sailana,Wheat,Other,FAQ,2550,3055,2850,2023-01-31
2091,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2537,2853,2748,2023-01-31
2104,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2555,2908,2731,2023-02-01
4464,Ratlam,Taal,Wheat,Medium,FAQ,2580,2800,2690,2023-02-01
3786,Ratlam,Sailana,Wheat,Other,FAQ,2550,2850,2850,2023-02-01
2099,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2545,2935,2690,2023-02-02
1080,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2550,2966,2600,2023-02-02
3765,Ratlam,Sailana,Wheat,Other,FAQ,2400,3054,2718,2023-02-02
4463,Ratlam,Taal,Wheat,Medium,FAQ,2580,2670,2600,2023-02-03
1057,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2480,2990,2600,2023-02-03
388,Ratlam,A lot,Wheat,Medium,FAQ,2556,2600,2586,2023-02-03
3788,Ratlam,Sailana,Wheat,Other,FAQ,2550,2900,2900,2023-02-03
2073,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2500,2851,2635,2023-02-03
368,Ratlam,A lot,Wheat,Medium,FAQ,2500,2583,2540,2023-02-04
1098,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2590,2899,2600,2023-02-04
2027,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2400,2835,2610,2023-02-04
3785,Ratlam,Sailana,Wheat,Other,FAQ,2550,2800,2590,2023-02-04
2025,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2400,2800,2600,2023-02-05
369,Ratlam,A lot,Wheat,Medium,FAQ,2500,2583,2540,2023-02-05
1059,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,2500,2500,2023-02-05
2053,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2450,2890,2620,2023-02-06
4459,Ratlam,Taal,Wheat,Medium,FAQ,2536,2651,2593,2023-02-06
3767,Ratlam,Sailana,Wheat,Other,FAQ,2410,2870,2580,2023-02-06
1044,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,3100,2600,2023-02-06
2031,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2413,2855,2635,2023-02-07
373,Ratlam,A lot,Wheat,Medium,FAQ,2500,2650,2575,2023-02-07
1043,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,3080,2600,2023-02-07
3756,Ratlam,Sailana,Wheat,Other,FAQ,2388,2800,2560,2023-02-07
4455,Ratlam,Taal,Wheat,Medium,FAQ,2510,2577,2543,2023-02-07
1082,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2550,3145,2700,2023-02-08
372,Ratlam,A lot,Wheat,Medium,FAQ,2500,2636,2547,2023-02-08
3737,Ratlam,Sailana,Wheat,Other,FAQ,2300,2821,2821,2023-02-08
2077,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2510,2851,2615,2023-02-08
4460,Ratlam,Taal,Wheat,Medium,FAQ,2540,2727,2633,2023-02-08
2046,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2440,2828,2610,2023-02-09
4453,Ratlam,Taal,Wheat,Medium,FAQ,2490,2771,2630,2023-02-09
3773,Ratlam,Sailana,Wheat,Other,FAQ,2464,2700,2570,2023-02-09
2058,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2461,2840,2640,2023-02-10
381,Ratlam,A lot,Wheat,Medium,FAQ,2550,2659,2601,2023-02-10
2026,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2400,2800,2600,2023-02-11
382,Ratlam,A lot,Wheat,Medium,FAQ,2550,2659,2601,2023-02-11
1942,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2200,2600,2400,2023-02-12
1062,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,2860,2700,2023-02-13
3715,Ratlam,Sailana,Wheat,Other,FAQ,2187,2550,2330,2023-02-13
1973,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2260,2625,2420,2023-02-13
4439,Ratlam,Taal,Wheat,Medium,FAQ,2240,2430,2335,2023-02-13
1953,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2217,2661,2445,2023-02-14
4438,Ratlam,Taal,Wheat,Medium,FAQ,2240,2290,2265,2023-02-14
3711,Ratlam,Sailana,Wheat,Other,FAQ,2160,2500,2260,2023-02-14
4430,Ratlam,Taal,Wheat,Medium,FAQ,2100,2301,2200,2023-02-15
981,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2120,2790,2500,2023-02-15
1955,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2220,2755,2485,2023-02-15
3641,Ratlam,Sailana,Wheat,Other,FAQ,1990,2370,2190,2023-02-15
4432,Ratlam,Taal,Wheat,Medium,FAQ,2130,2310,2200,2023-02-16
1967,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2240,2658,2410,2023-02-16
3713,Ratlam,Sailana,Wheat,Other,FAQ,2170,2700,2240,2023-02-16
4433,Ratlam,Taal,Wheat,Medium,FAQ,2150,2424,2287,2023-02-17
3716,Ratlam,Sailana,Wheat,Other,FAQ,2191,2500,2400,2023-02-17
1017,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2251,2915,2400,2023-02-17
390,Ratlam,A lot,Wheat,Medium,FAQ,2600,2718,2700,2023-02-17
1925,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2140,2966,2420,2023-02-17
1882,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2100,2600,2400,2023-02-18
375,Ratlam,A lot,Wheat,Medium,FAQ,2501,2501,2501,2023-02-18
1888,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2110,2610,2390,2023-02-19
376,Ratlam,A lot,Wheat,Medium,FAQ,2501,2501,2501,2023-02-19
275,Ratlam,A lot,Wheat,Medium,FAQ,2079,2145,2120,2023-02-20
1928,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2145,2800,2410,2023-02-20
992,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2150,2847,2300,2023-02-20
4422,Ratlam,Taal,Wheat,Medium,FAQ,2000,2370,2185,2023-02-20
3672,Ratlam,Sailana,Wheat,Other,FAQ,2050,2441,2441,2023-02-20
3679,Ratlam,Sailana,Wheat,Other,FAQ,2052,2750,2480,2023-02-21
991,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2150,2830,2300,2023-02-21
1932,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2153,3000,2225,2023-02-21
263,Ratlam,A lot,Wheat,Medium,FAQ,2017,2154,2121,2023-02-21
258,Ratlam,A lot,Wheat,Medium,FAQ,2001,2230,2172,2023-02-22
3652,Ratlam,Sailana,Wheat,Other,FAQ,2000,2691,2400,2023-02-22
1934,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2160,2663,2250,2023-02-22
998,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2156,2911,2300,2023-02-22
249,Ratlam,A lot,Wheat,Medium,FAQ,1981,2183,2150,2023-02-23
3653,Ratlam,Sailana,Wheat,Other,FAQ,2000,2761,2761,2023-02-23
962,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2000,2880,2300,2023-02-23
4429,Ratlam,Taal,Wheat,Medium,FAQ,2051,2300,2175,2023-02-23
1931,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2153,2714,2250,2023-02-23
961,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2000,2860,2300,2023-02-24
4426,Ratlam,Taal,Wheat,Medium,FAQ,2010,2399,2204,2023-02-24
1889,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2110,2703,2430,2023-02-24
3651,Ratlam,Sailana,Wheat,Other,FAQ,2000,2677,2125,2023-02-24
1887,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2110,2610,2380,2023-02-25
240,Ratlam,A lot,Wheat,Medium,FAQ,1951,2350,2150,2023-02-25
3693,Ratlam,Sailana,Wheat,Other,FAQ,2100,2410,2200,2023-02-25
241,Ratlam,A lot,Wheat,Medium,FAQ,1951,2351,2150,2023-02-26
1881,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2100,2600,2350,2023-02-26
3736,Ratlam,Sailana,Wheat,Other,FAQ,2300,2300,2300,2023-02-26
988,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2150,2661,2300,2023-02-27
3601,Ratlam,Sailana,Wheat,Other,FAQ,1825,2650,2300,2023-02-27
1891,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2118,2800,2390,2023-02-27
993,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2150,2900,2300,2023-02-28
4408,Ratlam,Taal,Wheat,Medium,FAQ,1820,2300,2000,2023-02-28
1927,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2143,2744,2425,2023-02-28
965,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2020,2820,2300,2023-03-01
1890,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2115,2780,2410,2023-03-01
3560,Ratlam,Sailana,Wheat,Other,FAQ,1185,2696,2200,2023-03-01
4406,Ratlam,Taal,Wheat,Medium,FAQ,1800,2400,2100,2023-03-01
4415,Ratlam,Taal,Wheat,Medium,FAQ,1920,2500,2210,2023-03-02
3607,Ratlam,Sailana,Wheat,Other,FAQ,1885,2696,2350,2023-03-02
960,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2000,2801,2300,2023-03-02
4410,Ratlam,Taal,Wheat,Medium,FAQ,1890,2380,2135,2023-03-03
1876,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2070,2745,2380,2023-03-03
985,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2125,2861,2300,2023-03-03
3573,Ratlam,Sailana,Wheat,Other,FAQ,1625,2661,2130,2023-03-03
1874,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2060,2698,2370,2023-03-04
925,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1800,2650,2300,2023-03-04
3588,Ratlam,Sailana,Wheat,Other,FAQ,1751,2500,2200,2023-03-04
1865,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2000,2700,2350,2023-03-05
3691,Ratlam,Sailana,Wheat,Other,FAQ,2100,2310,2200,2023-03-05
203,Ratlam,A lot,Wheat,Medium,FAQ,1800,2300,2035,2023-03-06
921,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1700,2600,2300,2023-03-06
4405,Ratlam,Taal,Wheat,Medium,FAQ,1790,2370,2080,2023-03-07
3706,Ratlam,Sailana,Wheat,Other,FAQ,2120,2320,2250,2023-03-07
204,Ratlam,A lot,Wheat,Medium,FAQ,1800,2300,2035,2023-03-07
205,Ratlam,A lot,Wheat,Medium,FAQ,1800,2300,2035,2023-03-08
1861,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2000,2600,2300,2023-03-08
1875,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2063,2803,2390,2023-03-09
926,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1800,2701,2307,2023-03-09
3586,Ratlam,Sailana,Wheat,Other,FAQ,1750,2590,2140,2023-03-09
145,Ratlam,A lot,Wheat,Medium,FAQ,1391,2218,2000,2023-03-09
927,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1800,2876,2300,2023-03-10
3584,Ratlam,Sailana,Wheat,Other,FAQ,1720,2560,2130,2023-03-10
1873,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2030,2813,2375,2023-03-10
149,Ratlam,A lot,Wheat,Medium,FAQ,1400,2250,2100,2023-03-10
1864,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2000,2700,2300,2023-03-11
147,Ratlam,A lot,Wheat,Medium,FAQ,1400,2250,2000,2023-03-11
3695,Ratlam,Sailana,Wheat,Other,FAQ,2100,2600,2250,2023-03-11
148,Ratlam,A lot,Wheat,Medium,FAQ,1400,2250,2000,2023-03-12
2740,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3244,3335,3300,2023-03-13
4401,Ratlam,Taal,Wheat,Medium,FAQ,1450,2351,1900,2023-03-13
1871,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2010,2873,2390,2023-03-13
157,Ratlam,A lot,Wheat,Medium,FAQ,1500,2140,2016,2023-03-13
934,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1850,2700,2300,2023-03-13
3567,Ratlam,Sailana,Wheat,Other,FAQ,1590,2640,2211,2023-03-13
924,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1717,2800,2300,2023-03-14
1872,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2030,2775,2370,2023-03-14
3575,Ratlam,Sailana,Wheat,Other,FAQ,1650,2620,2200,2023-03-14
4402,Ratlam,Taal,Wheat,Medium,FAQ,1531,2300,1915,2023-03-14
163,Ratlam,A lot,Wheat,Medium,FAQ,1515,2152,1981,2023-03-14
946,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1900,2875,2300,2023-03-15
1858,Ratlam,Ratlam,Wheat,Lok-1,FAQ,1990,2801,2385,2023-03-15
143,Ratlam,A lot,Wheat,Medium,FAQ,1320,2115,2021,2023-03-15
3562,Ratlam,Sailana,Wheat,Other,FAQ,1450,2550,2200,2023-03-15
2694,Ratlam,Ratlam,Wheat,Sharbati,FAQ,2217,3125,2525,2023-03-15
1854,Ratlam,Ratlam,Wheat,Lok-1,FAQ,1965,2771,2345,2023-03-16
164,Ratlam,A lot,Wheat,Medium,FAQ,1530,2156,1961,2023-03-16
2698,Ratlam,Ratlam,Wheat,Sharbati,FAQ,2270,2656,2430,2023-03-16
922,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1700,2875,2400,2023-03-16
3564,Ratlam,Sailana,Wheat,Other,FAQ,1500,7296,2100,2023-03-16
3568,Ratlam,Sailana,Wheat,Other,FAQ,1600,2600,2150,2023-03-17
4578,Ratlam,Taal,Wheat,Other,FAQ,1700,2401,2000,2023-03-17
165,Ratlam,A lot,Wheat,Medium,FAQ,1551,2140,2000,2023-03-17
935,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1850,2802,2400,2023-03-17
1855,Ratlam,Ratlam,Wheat,Lok-1,FAQ,1967,2825,2360,2023-03-17
170,Ratlam,A lot,Wheat,Medium,FAQ,1641,2112,2011,2023-03-18
4581,Ratlam,Taal,Wheat,Other,FAQ,1770,2316,2043,2023-03-18
3574,Ratlam,Sailana,Wheat,Other,FAQ,1631,2800,2200,2023-03-18
920,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1600,2660,2300,2023-03-18
171,Ratlam,A lot,Wheat,Medium,FAQ,1641,2112,2011,2023-03-19
3710,Ratlam,Sailana,Wheat,Other,FAQ,2150,2350,2350,2023-03-19
3566,Ratlam,Sailana,Wheat,Other,FAQ,1586,2800,2300,2023-03-20
1856,Ratlam,Ratlam,Wheat,Lok-1,FAQ,1975,2975,2275,2023-03-20
144,Ratlam,A lot,Wheat,Medium,FAQ,1366,2171,2012,2023-03-20
923,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,1700,3051,2400,2023-03-20
1930,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2150,3001,2310,2023-03-21
159,Ratlam,A lot,Wheat,Medium,FAQ,1500,2375,2040,2023-03-21
3569,Ratlam,Sailana,Wheat,Other,FAQ,1600,2850,2130,2023-03-21
2632,Ratlam,Ratlam,Wheat,Other,FAQ,1709,2124,1940,2023-03-21
3685,Ratlam,Sailana,Wheat,Other,FAQ,2080,2400,2200,2023-03-22
160,Ratlam,A lot,Wheat,Medium,FAQ,1500,2375,2040,2023-03-22
1859,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2000,2550,2300,2023-03-22
4582,Ratlam,Taal,Wheat,Other,FAQ,1800,2401,2050,2023-03-22
1860,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2000,2600,2280,2023-03-23
3705,Ratlam,Sailana,Wheat,Other,FAQ,2120,2300,2130,2023-03-23
4579,Ratlam,Taal,Wheat,Other,FAQ,1750,2430,2020,2023-03-23
198,Ratlam,A lot,Wheat,Medium,FAQ,1800,2000,1900,2023-03-23
3572,Ratlam,Sailana,Wheat,Other,FAQ,1612,3000,2200,2023-03-24
174,Ratlam,A lot,Wheat,Medium,FAQ,1696,2361,2025,2023-03-24
