Sl_No,District,Market,Commodity,Variety,Grade,Min_Price_Rs,Max_Price_Rs,Modal_Price_Rs,Date
657,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2735,2700,2023-01-02
327,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2745,2710,2023-01-03
394,Varanasi,Varanasi,Wheat,Dara,FAQ,2665,2760,2715,2023-01-04
264,Varanasi,Varanasi,Wheat,Dara,FAQ,2685,2785,2718,2023-01-05
263,Varanasi,Varanasi,Wheat,Dara,FAQ,2670,2750,2720,2023-01-06
50,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2735,2700,2023-01-07
191,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2735,2700,2023-01-09
64,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2745,2720,2023-01-10
529,Varanasi,Varanasi,Wheat,Dara,FAQ,2670,2760,2715,2023-01-11
724,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2765,2725,2023-01-14
34,Varanasi,Varanasi,Wheat,Dara,FAQ,2700,2785,2730,2023-01-16
313,Varanasi,Varanasi,Wheat,Dara,FAQ,2700,2800,2740,2023-01-17
536,Varanasi,Varanasi,Wheat,Dara,FAQ,2700,2785,2750,2023-01-18
338,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2840,2780,2023-01-19
26,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2825,2780,2023-01-20
323,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2815,2785,2023-01-21
246,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2790,2023-01-23
340,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2800,2023-01-24
735,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2845,2800,2023-01-25
326,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2845,2810,2023-01-27
593,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2850,2815,2023-01-28
324,Varanasi,Varanasi,Wheat,Dara,FAQ,2770,2865,2815,2023-01-30
643,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2850,2820,2023-01-31
435,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2835,2770,2023-02-01
155,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2850,2775,2023-02-02
599,Varanasi,Varanasi,Wheat,Dara,FAQ,2675,2800,2765,2023-02-03
481,Varanasi,Varanasi,Wheat,Dara,FAQ,2725,2800,2760,2023-02-04
534,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2835,2770,2023-02-06
258,Varanasi,Varanasi,Wheat,Dara,FAQ,2735,2850,2780,2023-02-07
460,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2835,2800,2023-02-08
11,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2845,2810,2023-02-09
254,Varanasi,Varanasi,Wheat,Dara,FAQ,2775,2850,2815,2023-02-10
438,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2865,2810,2023-02-11
72,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2880,2820,2023-02-13
100,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2845,2800,2023-02-14
665,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2835,2800,2023-02-15
554,Varanasi,Varanasi,Wheat,Dara,FAQ,2775,2890,2810,2023-02-16
691,Varanasi,Varanasi,Wheat,Dara,FAQ,2770,2845,2800,2023-02-17
73,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2835,2780,2023-02-20
650,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2850,2780,2023-02-21
61,Varanasi,Varanasi,Wheat,Dara,FAQ,2675,2825,2785,2023-02-22
601,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2790,2023-02-23
269,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2780,2023-02-24
42,Varanasi,Varanasi,Wheat,Dara,FAQ,2700,2785,2750,2023-02-25
630,Varanasi,Varanasi,Wheat,Dara,FAQ,2640,2735,2695,2023-02-27
175,Varanasi,Varanasi,Wheat,Dara,FAQ,2550,2735,2670,2023-02-28
688,Varanasi,Varanasi,Wheat,Dara,FAQ,2620,2700,2665,2023-03-01
133,Varanasi,Varanasi,Wheat,Dara,FAQ,2550,2675,2635,2023-03-02
235,Varanasi,Varanasi,Wheat,Dara,FAQ,2535,2635,2585,2023-03-03
65,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2575,2535,2023-03-04
532,Varanasi,Varanasi,Wheat,Dara,FAQ,2525,2575,2540,2023-03-06
265,Varanasi,Varanasi,Wheat,Dara,FAQ,2450,2550,2500,2023-03-07
619,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2485,2450,2023-03-10
218,Varanasi,Varanasi,Wheat,Dara,FAQ,2375,2465,2420,2023-03-11
121,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2465,2400,2023-03-13
425,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2375,2023-03-14
132,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2425,2350,2023-03-15
510,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2345,2300,2023-03-16
118,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2336,2300,2023-03-17
410,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2385,2320,2023-03-18
189,Varanasi,Varanasi,Wheat,Dara,FAQ,2165,2345,2280,2023-03-20
158,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2350,2270,2023-03-21
289,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2320,2275,2023-03-22
483,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2350,2280,2023-03-23
341,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2350,2265,2023-03-24
516,Varanasi,Varanasi,Wheat,Dara,FAQ,2185,2350,2260,2023-03-25
628,Varanasi,Varanasi,Wheat,Dara,FAQ,2185,2265,2230,2023-03-27
366,Varanasi,Varanasi,Wheat,Dara,FAQ,2170,2285,2215,2023-03-29
148,Varanasi,Varanasi,Wheat,Dara,FAQ,2150,2235,2200,2023-03-30
652,Varanasi,Varanasi,Wheat,Dara,FAQ,2150,2245,2200,2023-03-31
113,Varanasi,Varanasi,Wheat,Dara,FAQ,2140,2235,2180,2023-04-01
664,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2250,2170,2023-04-03
605,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2160,2023-04-04
212,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2150,2023-04-05
97,Varanasi,Varanasi,Wheat,Dara,FAQ,2115,2165,2130,2023-04-07
399,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2140,2023-04-08
293,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2170,2135,2023-04-10
537,Varanasi,Varanasi,Wheat,Dara,FAQ,2115,2160,2130,2023-04-11
192,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2185,2135,2023-04-12
715,Varanasi,Varanasi,Wheat,Dara,FAQ,2120,2145,2125,2023-04-13
387,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2185,2135,2023-04-14
217,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2150,2130,2023-04-15
370,Varanasi,Varanasi,Wheat,Dara,FAQ,2100,2140,2125,2023-04-17
626,Varanasi,Varanasi,Wheat,Dara,FAQ,2120,2140,2125,2023-04-18
539,Varanasi,Varanasi,Wheat,Dara,FAQ,2120,2175,2145,2023-04-19
102,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2175,2140,2023-04-20
415,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2140,2023-04-24
337,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2250,2170,2023-04-25
23,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2180,2023-04-26
48,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2245,2200,2023-04-27
680,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2250,2190,2023-04-28
304,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2225,2180,2023-04-29
7,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2140,2023-05-01
621,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2230,2150,2023-05-02
231,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2225,2170,2023-05-03
83,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2250,2170,2023-05-05
375,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2150,2023-05-06
144,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2160,2023-05-08
699,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2165,2023-05-09
200,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2160,2023-05-10
137,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2165,2023-05-11
266,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2165,2023-05-12
157,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2220,2170,2023-05-13
670,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2220,2175,2023-05-15
421,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2220,2165,2023-05-16
361,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2225,2180,2023-05-17
452,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2180,2023-05-18
608,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2185,2023-05-19
252,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2185,2023-05-20
648,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2250,2190,2023-05-22
466,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2185,2023-05-23
162,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2240,2200,2023-05-24
51,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2190,2023-05-25
727,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2170,2023-05-29
351,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2175,2023-05-30
207,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2220,2170,2023-05-31
482,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2245,2175,2023-06-01
471,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2265,2200,2023-06-02
30,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2200,2023-06-03
723,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2265,2220,2023-06-05
317,Varanasi,Varanasi,Wheat,Dara,FAQ,2135,2275,2225,2023-06-06
424,Varanasi,Varanasi,Wheat,Dara,FAQ,2130,2300,2220,2023-06-07
43,Varanasi,Varanasi,Wheat,Dara,FAQ,2140,2250,2235,2023-06-08
319,Varanasi,Varanasi,Wheat,Dara,FAQ,2565,2645,2600,2023-06-09
354,Varanasi,Varanasi,Wheat,Dara,FAQ,2190,2320,2270,2023-06-12
634,Varanasi,Varanasi,Wheat,Dara,FAQ,2200,2635,2285,2023-06-13
362,Varanasi,Varanasi,Wheat,Dara,FAQ,2265,2345,2300,2023-06-14
407,Varanasi,Varanasi,Wheat,Dara,FAQ,2235,2340,2300,2023-06-15
161,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2345,2320,2023-06-16
726,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2375,2325,2023-06-17
181,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2350,2325,2023-06-19
512,Varanasi,Varanasi,Wheat,Dara,FAQ,2280,2375,2330,2023-06-20
417,Varanasi,Varanasi,Wheat,Dara,FAQ,2280,2360,2335,2023-06-21
56,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2365,2335,2023-06-22
108,Varanasi,Varanasi,Wheat,Dara,FAQ,2280,2375,2330,2023-06-23
343,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2370,2330,2023-06-24
597,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2385,2350,2023-06-26
390,Varanasi,Varanasi,Wheat,Dara,FAQ,2280,2400,2350,2023-06-27
220,Varanasi,Varanasi,Wheat,Dara,FAQ,2280,2400,2360,2023-06-28
584,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2390,2350,2023-06-29
651,Varanasi,Varanasi,Wheat,Dara,FAQ,2290,2400,2350,2023-06-30
729,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2360,2320,2023-07-01
131,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2365,2325,2023-07-03
594,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2350,2325,2023-07-04
209,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2380,2320,2023-07-05
711,Varanasi,Varanasi,Wheat,Dara,FAQ,2265,2375,2300,2023-07-06
441,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2375,2300,2023-07-07
504,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2345,2300,2023-07-08
686,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2360,2315,2023-07-10
123,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2360,2320,2023-07-11
697,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2425,2325,2023-07-12
291,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2350,2315,2023-07-14
698,Varanasi,Varanasi,Wheat,Dara,FAQ,2265,2340,2300,2023-07-15
477,Varanasi,Varanasi,Wheat,Dara,FAQ,2265,2340,2285,2023-07-17
76,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2345,2290,2023-07-18
573,Varanasi,Varanasi,Wheat,Dara,FAQ,2265,2335,2300,2023-07-19
638,Varanasi,Varanasi,Wheat,Dara,FAQ,2265,2375,2300,2023-07-20
79,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2335,2290,2023-07-21
475,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2365,2300,2023-07-22
12,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2360,2310,2023-07-24
519,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2365,2300,2023-07-25
583,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2340,2300,2023-07-26
163,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2350,2300,2023-07-27
310,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2350,2320,2023-07-28
683,Varanasi,Varanasi,Wheat,Dara,FAQ,2280,2350,2315,2023-07-29
383,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2340,2310,2023-07-31
631,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2350,2300,2023-08-01
677,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2360,2320,2023-08-02
329,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2385,2325,2023-08-03
496,Varanasi,Varanasi,Wheat,Dara,FAQ,2320,2385,2330,2023-08-04
447,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2360,2330,2023-08-05
716,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2365,2325,2023-08-07
647,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2355,2330,2023-08-08
624,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2375,2330,2023-08-09
549,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2360,2315,2023-08-10
105,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2375,2320,2023-08-11
39,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2350,2320,2023-08-12
228,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2375,2325,2023-08-14
524,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2360,2330,2023-08-16
706,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2360,2330,2023-08-17
655,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2385,2335,2023-08-18
360,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2365,2335,2023-08-19
90,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2400,2340,2023-08-21
99,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2370,2335,2023-08-22
568,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2365,2330,2023-08-23
592,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2375,2325,2023-08-24
349,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2385,2325,2023-08-25
719,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2345,2320,2023-08-26
193,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2375,2325,2023-08-28
103,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2365,2330,2023-08-29
381,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2365,2330,2023-08-30
612,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2370,2330,2023-09-01
672,Varanasi,Varanasi,Wheat,Dara,FAQ,2265,2350,2325,2023-09-02
87,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2350,2325,2023-09-04
98,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2360,2320,2023-09-07
68,Varanasi,Varanasi,Wheat,Dara,FAQ,2290,2365,2330,2023-09-08
186,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2375,2335,2023-09-09
453,Varanasi,Varanasi,Wheat,Dara,FAQ,2320,2400,2340,2023-09-11
389,Varanasi,Varanasi,Wheat,Dara,FAQ,2315,2400,2345,2023-09-12
154,Varanasi,Varanasi,Wheat,Dara,FAQ,2320,2400,2350,2023-09-13
434,Varanasi,Varanasi,Wheat,Dara,FAQ,2320,2415,2350,2023-09-14
620,Varanasi,Varanasi,Wheat,Dara,FAQ,2315,2425,2365,2023-09-15
236,Varanasi,Varanasi,Wheat,Dara,FAQ,2325,2400,2365,2023-09-16
625,Varanasi,Varanasi,Wheat,Dara,FAQ,2330,2400,2360,2023-09-18
462,Varanasi,Varanasi,Wheat,Dara,FAQ,2320,2400,2365,2023-09-19
63,Varanasi,Varanasi,Wheat,Dara,FAQ,2320,2400,2365,2023-09-20
251,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2385,2360,2023-09-21
60,Varanasi,Varanasi,Wheat,Dara,FAQ,2320,2400,2360,2023-09-22
552,Varanasi,Varanasi,Wheat,Dara,FAQ,2315,2400,2365,2023-09-23
78,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2370,2023-09-25
115,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2415,2375,2023-09-26
204,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2375,2023-09-27
505,Varanasi,Varanasi,Wheat,Dara,FAQ,2335,2420,2370,2023-09-28
459,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2435,2370,2023-09-29
437,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2410,2375,2023-09-30
708,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2415,2370,2023-10-02
660,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2370,2023-10-03
507,Varanasi,Varanasi,Wheat,Dara,FAQ,2345,2425,2370,2023-10-04
156,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2435,2375,2023-10-05
372,Varanasi,Varanasi,Wheat,Dara,FAQ,2345,2430,2380,2023-10-06
297,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2435,2375,2023-10-07
678,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2450,2385,2023-10-10
450,Varanasi,Varanasi,Wheat,Dara,FAQ,2345,2425,2385,2023-10-11
576,Varanasi,Varanasi,Wheat,Dara,FAQ,2345,2425,2380,2023-10-12
75,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2375,2023-10-13
448,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2425,2375,2023-10-14
585,Varanasi,Varanasi,Wheat,Dara,FAQ,2345,2425,2370,2023-10-16
267,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2380,2023-10-17
203,Varanasi,Varanasi,Wheat,Dara,FAQ,2330,2420,2380,2023-10-18
237,Varanasi,Varanasi,Wheat,Dara,FAQ,2355,2425,2385,2023-10-19
356,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2425,2390,2023-10-20
339,Varanasi,Varanasi,Wheat,Dara,FAQ,2345,2425,2390,2023-10-21
486,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2380,2023-10-25
66,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2435,2380,2023-10-26
411,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2430,2375,2023-10-27
318,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2430,2370,2023-10-28
635,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2425,2370,2023-10-30
397,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2435,2375,2023-10-31
134,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2445,2385,2023-11-01
16,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2435,2380,2023-11-02
687,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2380,2023-11-03
363,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2435,2380,2023-11-04
700,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2420,2385,2023-11-06
71,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2465,2380,2023-11-08
611,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2460,2390,2023-11-09
609,Varanasi,Varanasi,Wheat,Dara,FAQ,2345,2465,2390,2023-11-10
556,Varanasi,Varanasi,Wheat,Dara,FAQ,2370,2465,2400,2023-11-14
610,Varanasi,Varanasi,Wheat,Dara,FAQ,2370,2450,2400,2023-11-15
391,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2450,2385,2023-11-16
454,Varanasi,Varanasi,Wheat,Dara,FAQ,2365,2450,2390,2023-11-17
135,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2435,2390,2023-11-18
312,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2435,2385,2023-11-20
439,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2440,2400,2023-11-22
531,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2440,2390,2023-11-23
598,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2440,2395,2023-11-24
385,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2440,2400,2023-11-25
80,Varanasi,Varanasi,Wheat,Dara,FAQ,2370,2500,2410,2023-11-26
618,Varanasi,Varanasi,Wheat,Dara,FAQ,2370,2500,2410,2023-11-27
494,Varanasi,Varanasi,Wheat,Dara,FAQ,2345,2435,2390,2023-11-29
432,Varanasi,Varanasi,Wheat,Dara,FAQ,2375,2470,2430,2023-12-01
120,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2475,2435,2023-12-02
195,Varanasi,Varanasi,Wheat,Dara,FAQ,2420,2490,2440,2023-12-04
379,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2500,2445,2023-12-06
368,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2485,2450,2023-12-07
488,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2525,2475,2023-12-08
301,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2525,2480,2023-12-09
418,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2520,2485,2023-12-11
446,Varanasi,Varanasi,Wheat,Dara,FAQ,2450,2525,2490,2023-12-12
419,Varanasi,Varanasi,Wheat,Dara,FAQ,2465,2550,2500,2023-12-13
347,Varanasi,Varanasi,Wheat,Dara,FAQ,2475,2585,2515,2023-12-14
676,Varanasi,Varanasi,Wheat,Dara,FAQ,2490,2575,2530,2023-12-15
622,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2550,2515,2023-12-16
464,Varanasi,Varanasi,Wheat,Dara,FAQ,2465,2565,2510,2023-12-19
280,Varanasi,Varanasi,Wheat,Dara,FAQ,2465,2550,2510,2023-12-20
449,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2550,2520,2023-12-21
649,Varanasi,Varanasi,Wheat,Dara,FAQ,2465,2550,2520,2023-12-22
248,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2565,2515,2023-12-23
257,Varanasi,Varanasi,Wheat,Dara,FAQ,2450,2570,2520,2023-12-26
328,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2545,2515,2023-12-27
62,Varanasi,Varanasi,Wheat,Dara,FAQ,2480,2565,2515,2023-12-28
671,Varanasi,Varanasi,Wheat,Dara,FAQ,2475,2565,2510,2023-12-29
645,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2545,2515,2023-12-30
461,Varanasi,Varanasi,Wheat,Dara,FAQ,2450,2550,2510,2024-01-01
718,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2550,2515,2024-01-02
704,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2550,2515,2024-01-03
369,Varanasi,Varanasi,Wheat,Dara,FAQ,2465,2550,2520,2024-01-04
49,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2575,2550,2024-01-05
300,Varanasi,Varanasi,Wheat,Dara,FAQ,2475,2565,2515,2024-01-06
281,Varanasi,Varanasi,Wheat,Dara,FAQ,2450,2565,2520,2024-01-08
701,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2550,2520,2024-01-10
692,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2565,2525,2024-01-11
491,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2575,2530,2024-01-12
731,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2585,2535,2024-01-13
125,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2560,2535,2024-01-15
273,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2565,2520,2024-01-16
96,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2550,2520,2024-01-17
398,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2565,2525,2024-01-18
112,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2550,2520,2024-01-19
564,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2565,2535,2024-01-20
526,Varanasi,Varanasi,Wheat,Dara,FAQ,2520,2600,2535,2024-01-23
661,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2565,2535,2024-01-24
205,Varanasi,Varanasi,Wheat,Dara,FAQ,2475,2550,2520,2024-01-25
15,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2550,2520,2024-01-27
722,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2565,2525,2024-01-29
116,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2570,2530,2024-01-30
119,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2575,2525,2024-01-31
159,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2585,2525,2024-02-01
348,Varanasi,Varanasi,Wheat,Dara,FAQ,2520,2625,2560,2024-02-02
506,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2585,2550,2024-02-03
533,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2585,2530,2024-02-05
457,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2575,2535,2024-02-06
202,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2575,2535,2024-02-07
358,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2575,2535,2024-02-08
714,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2575,2540,2024-02-09
320,Varanasi,Varanasi,Wheat,Dara,FAQ,2515,2600,2550,2024-02-10
171,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2585,2550,2024-02-11
