"Min,Max,Modal Price from Madhya Pradesh,Ratlam[Wheat] from 01-Jan-2023To29-Aug-2025 (Total-5016) (Total-5016)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
46,Ratlam,A lot,Wheat,Local,FAQ,2275,2681,2300,29-Apr-24
47,Ratlam,A lot,Wheat,Local,FAQ,2275,2768,2334,07-May-24
48,Ratlam,A lot,Wheat,Local,FAQ,2299,2400,2299,23-Feb-24
49,Ratlam,A lot,Wheat,Local,FAQ,2300,2588,2391,25-Apr-24
50,Ratlam,A lot,Wheat,Local,FAQ,2300,2626,2440,09-May-24
51,Ratlam,A lot,Wheat,Local,FAQ,2300,2685,2400,01-May-24
52,Ratlam,A lot,Wheat,Local,FAQ,2300,2686,2483,13-Jun-24
53,Ratlam,A lot,Wheat,Local,FAQ,2300,2691,2575,25-Jun-24
54,Ratlam,A lot,Wheat,Local,FAQ,2300,2825,2430,22-Apr-24
55,Ratlam,A lot,Wheat,Local,FAQ,2300,5680,2491,20-Apr-24
56,Ratlam,A lot,Wheat,Local,FAQ,2313,2785,2425,15-May-24
57,Ratlam,A lot,Wheat,Local,FAQ,2321,2653,2530,26-Apr-24
58,Ratlam,A lot,Wheat,Local,FAQ,2325,2722,2411,03-May-24
59,Ratlam,A lot,Wheat,Local,FAQ,2325,2790,2500,30-Apr-24
60,Ratlam,A lot,Wheat,Local,FAQ,2325,2804,2441,17-May-24
61,Ratlam,A lot,Wheat,Local,FAQ,2326,2500,2500,22-May-24
62,Ratlam,A lot,Wheat,Local,FAQ,2331,2725,2470,01-Jun-24
63,Ratlam,A lot,Wheat,Local,FAQ,2331,2765,2473,18-May-24
64,Ratlam,A lot,Wheat,Local,FAQ,2338,2338,2338,30-Mar-24
65,Ratlam,A lot,Wheat,Local,FAQ,2350,2681,2525,31-May-24
66,Ratlam,A lot,Wheat,Local,FAQ,2350,2760,2500,30-May-24
67,Ratlam,A lot,Wheat,Local,FAQ,2356,2650,2570,15-Jun-24
68,Ratlam,A lot,Wheat,Local,FAQ,2360,2761,2511,29-May-24
69,Ratlam,A lot,Wheat,Local,FAQ,2361,2631,2496,03-Jun-24
70,Ratlam,A lot,Wheat,Local,FAQ,2364,2707,2510,05-Jun-24
71,Ratlam,A lot,Wheat,Local,FAQ,2369,2793,2496,21-May-24
72,Ratlam,A lot,Wheat,Local,FAQ,2380,2757,2570,10-Jun-24
73,Ratlam,A lot,Wheat,Local,FAQ,2380,12900,2475,28-May-24
74,Ratlam,A lot,Wheat,Local,FAQ,2385,2407,2400,01-Apr-24
75,Ratlam,A lot,Wheat,Local,FAQ,2390,2660,2540,26-Jun-24
76,Ratlam,A lot,Wheat,Local,FAQ,2390,12000,2750,27-May-24
77,Ratlam,A lot,Wheat,Local,FAQ,2392,2840,2700,20-May-24
78,Ratlam,A lot,Wheat,Local,FAQ,2393,2728,2511,06-Jun-24
79,Ratlam,A lot,Wheat,Local,FAQ,2395,2671,2530,14-Jun-24
80,Ratlam,A lot,Wheat,Local,FAQ,2401,2685,2475,20-Jun-24
81,Ratlam,A lot,Wheat,Local,FAQ,2414,2692,2500,12-Jun-24
82,Ratlam,A lot,Wheat,Local,FAQ,2425,2639,2555,19-Jun-24
83,Ratlam,A lot,Wheat,Local,FAQ,2425,2691,2559,11-Jun-24
84,Ratlam,A lot,Wheat,Local,FAQ,2425,4291,2581,24-Jun-24
85,Ratlam,A lot,Wheat,Local,FAQ,2426,2426,2426,03-Jul-25
86,Ratlam,A lot,Wheat,Local,FAQ,2447,2447,2447,08-Apr-25
87,Ratlam,A lot,Wheat,Local,FAQ,2488,2700,2700,21-Jun-24
88,Ratlam,A lot,Wheat,Lokwan,FAQ,2238,2271,2100,27-Feb-24
89,Ratlam,A lot,Wheat,Lokwan,FAQ,2350,2850,2440,09-May-24
90,Ratlam,A lot,Wheat,Lokwan,FAQ,2351,2665,2370,08-May-24
91,Ratlam,A lot,Wheat,Lokwan,FAQ,2366,2577,2577,06-May-25
92,Ratlam,A lot,Wheat,Lokwan,FAQ,2380,2568,2570,07-Jun-24
93,Ratlam,A lot,Wheat,Lokwan,FAQ,2380,2629,2334,07-May-24
94,Ratlam,A lot,Wheat,Lokwan,FAQ,2380,2657,2511,06-Jun-24
95,Ratlam,A lot,Wheat,Lokwan,FAQ,2388,2482,2400,05-Apr-25
96,Ratlam,A lot,Wheat,Lokwan,FAQ,2390,2503,2503,14-May-25
97,Ratlam,A lot,Wheat,Lokwan,FAQ,2390,2583,2391,07-May-25
98,Ratlam,A lot,Wheat,Lokwan,FAQ,2390,2752,2425,15-May-24
99,Ratlam,A lot,Wheat,Lokwan,FAQ,2400,2400,2400,06-Apr-25
100,Ratlam,A lot,Wheat,Lokwan,FAQ,2400,2500,2500,07-Apr-25
101,Ratlam,A lot,Wheat,Lokwan,FAQ,2400,2561,2561,05-May-25
102,Ratlam,A lot,Wheat,Lokwan,FAQ,2400,2569,2570,10-Jun-24
103,Ratlam,A lot,Wheat,Lokwan,FAQ,2417,2521,2509,13-May-25
104,Ratlam,A lot,Wheat,Lokwan,FAQ,2418,2523,2523,08-May-25
105,Ratlam,A lot,Wheat,Lokwan,FAQ,2426,2619,2496,03-Jun-24
106,Ratlam,A lot,Wheat,Lokwan,FAQ,2445,2635,2635,27-May-25
107,Ratlam,A lot,Wheat,Lokwan,FAQ,2447,2656,2656,09-May-25
108,Ratlam,A lot,Wheat,Lokwan,FAQ,2482,2497,2497,11-Mar-25
109,Ratlam,A lot,Wheat,Lokwan,FAQ,2483,2507,2507,17-May-25
110,Ratlam,A lot,Wheat,Lokwan,FAQ,2484,2564,2564,03-Apr-25
111,Ratlam,A lot,Wheat,Lokwan,FAQ,2490,2570,2570,09-Apr-25
112,Ratlam,A lot,Wheat,Lokwan,FAQ,2500,2820,2511,29-May-24
113,Ratlam,A lot,Wheat,Lokwan,FAQ,2501,2534,2534,03-May-25
114,Ratlam,A lot,Wheat,Lokwan,FAQ,2507,2575,2575,08-Apr-25
115,Ratlam,A lot,Wheat,Lokwan,FAQ,2525,2525,2500,30-May-24
116,Ratlam,A lot,Wheat,Lokwan,FAQ,2554,2554,2554,19-Apr-25
117,Ratlam,A lot,Wheat,Lokwan,FAQ,2560,2560,2560,11-Apr-25
118,Ratlam,A lot,Wheat,Lokwan,FAQ,2565,2751,2751,17-Apr-25
119,Ratlam,A lot,Wheat,Lokwan,FAQ,2570,2611,2611,21-Apr-25
120,Ratlam,A lot,Wheat,Lokwan,FAQ,2628,2628,2628,21-May-25
121,Ratlam,A lot,Wheat,Lokwan,Non-FAQ,2590,2590,2590,12-Mar-25
122,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2311,2418,2418,05-Apr-25
123,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2325,2504,2504,09-Apr-25
124,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2326,2465,2376,04-Apr-25
125,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2336,2459,2459,08-Apr-25
126,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2341,2459,2364,15-Apr-25
127,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2350,2455,2391,03-Apr-25
128,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2350,2471,2396,16-Apr-25
129,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2353,2382,2382,28-Apr-25
130,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2356,2441,2441,07-Apr-25
131,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2374,2375,2375,25-Apr-25
132,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2378,2440,2440,02-Apr-25
133,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2379,2408,2408,24-Apr-25
134,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2379,2473,2473,17-Apr-25
135,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2380,2392,2392,23-Apr-25
136,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2393,2441,2441,19-Apr-25
137,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2400,2400,2400,13-May-25
138,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2406,2430,2430,21-Apr-25
139,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2417,2417,2417,06-May-25
140,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2422,2469,2469,21-May-25
141,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2423,2423,2423,05-May-25
142,Ratlam,A lot,Wheat,Malwa Shakti,FAQ,2448,2448,2448,14-May-25
143,Ratlam,A lot,Wheat,Medium,FAQ,1320,2115,2021,15-Mar-23
144,Ratlam,A lot,Wheat,Medium,FAQ,1366,2171,2012,20-Mar-23
145,Ratlam,A lot,Wheat,Medium,FAQ,1391,2218,2000,09-Mar-23
146,Ratlam,A lot,Wheat,Medium,FAQ,1400,2241,2030,19-Apr-23
147,Ratlam,A lot,Wheat,Medium,FAQ,1400,2250,2000,11-Mar-23
148,Ratlam,A lot,Wheat,Medium,FAQ,1400,2250,2000,12-Mar-23
149,Ratlam,A lot,Wheat,Medium,FAQ,1400,2250,2100,10-Mar-23
150,Ratlam,A lot,Wheat,Medium,FAQ,1400,2441,2030,06-Apr-23
151,Ratlam,A lot,Wheat,Medium,FAQ,1400,2441,2030,07-Apr-23
152,Ratlam,A lot,Wheat,Medium,FAQ,1401,2243,2021,20-Apr-23
153,Ratlam,A lot,Wheat,Medium,FAQ,1401,2243,2021,21-Apr-23
154,Ratlam,A lot,Wheat,Medium,FAQ,1401,2243,2021,23-Apr-23
155,Ratlam,A lot,Wheat,Medium,FAQ,1401,2500,2015,12-Apr-23
156,Ratlam,A lot,Wheat,Medium,FAQ,1461,2423,2015,05-Apr-23
157,Ratlam,A lot,Wheat,Medium,FAQ,1500,2140,2016,13-Mar-23
158,Ratlam,A lot,Wheat,Medium,FAQ,1500,2300,1992,27-Mar-23
159,Ratlam,A lot,Wheat,Medium,FAQ,1500,2375,2040,21-Mar-23
160,Ratlam,A lot,Wheat,Medium,FAQ,1500,2375,2040,22-Mar-23
161,Ratlam,A lot,Wheat,Medium,FAQ,1500,2386,2200,12-Jul-23
162,Ratlam,A lot,Wheat,Medium,FAQ,1500,2500,2200,29-Oct-23
163,Ratlam,A lot,Wheat,Medium,FAQ,1515,2152,1981,14-Mar-23
164,Ratlam,A lot,Wheat,Medium,FAQ,1530,2156,1961,16-Mar-23
165,Ratlam,A lot,Wheat,Medium,FAQ,1551,2140,2000,17-Mar-23
166,Ratlam,A lot,Wheat,Medium,FAQ,1576,2400,2030,24-Apr-23
167,Ratlam,A lot,Wheat,Medium,FAQ,1576,2440,2035,25-Apr-23
168,Ratlam,A lot,Wheat,Medium,FAQ,1601,2400,2010,11-Apr-23
169,Ratlam,A lot,Wheat,Medium,FAQ,1612,2450,2025,17-Apr-23
170,Ratlam,A lot,Wheat,Medium,FAQ,1641,2112,2011,18-Mar-23
171,Ratlam,A lot,Wheat,Medium,FAQ,1641,2112,2011,19-Mar-23
172,Ratlam,A lot,Wheat,Medium,FAQ,1652,2267,2120,15-May-23
173,Ratlam,A lot,Wheat,Medium,FAQ,1675,2251,2076,02-May-23
174,Ratlam,A lot,Wheat,Medium,FAQ,1696,2361,2025,24-Mar-23
175,Ratlam,A lot,Wheat,Medium,FAQ,1700,2170,2050,27-Apr-23
176,Ratlam,A lot,Wheat,Medium,FAQ,1700,2300,2040,18-Apr-23
177,Ratlam,A lot,Wheat,Medium,FAQ,1700,2316,2140,18-May-23
178,Ratlam,A lot,Wheat,Medium,FAQ,1700,2324,2240,05-Jun-23
179,Ratlam,A lot,Wheat,Medium,FAQ,1700,2361,2225,06-Jul-23
180,Ratlam,A lot,Wheat,Medium,FAQ,1700,2381,1980,28-Mar-23
181,Ratlam,A lot,Wheat,Medium,FAQ,1700,2400,2015,15-Apr-23
182,Ratlam,A lot,Wheat,Medium,FAQ,1700,2400,2015,16-Apr-23
183,Ratlam,A lot,Wheat,Medium,FAQ,1700,2951,2840,24-Jan-23
184,Ratlam,A lot,Wheat,Medium,FAQ,1703,2251,2165,15-Jun-23
185,Ratlam,A lot,Wheat,Medium,FAQ,1704,2192,2090,06-May-23
186,Ratlam,A lot,Wheat,Medium,FAQ,1704,2192,2090,07-May-23
187,Ratlam,A lot,Wheat,Medium,FAQ,1711,2250,2118,12-May-23
188,Ratlam,A lot,Wheat,Medium,FAQ,1711,2250,2118,13-May-23
189,Ratlam,A lot,Wheat,Medium,FAQ,1711,2250,2118,14-May-23
190,Ratlam,A lot,Wheat,Medium,FAQ,1725,2222,2071,28-Apr-23
191,Ratlam,A lot,Wheat,Medium,FAQ,1740,2601,2080,13-Apr-23
192,Ratlam,A lot,Wheat,Medium,FAQ,1740,2601,2080,14-Apr-23
193,Ratlam,A lot,Wheat,Medium,FAQ,1741,1985,1985,31-Mar-23
194,Ratlam,A lot,Wheat,Medium,FAQ,1741,2321,1992,29-Mar-23
195,Ratlam,A lot,Wheat,Medium,FAQ,1741,2381,1992,30-Mar-23
196,Ratlam,A lot,Wheat,Medium,FAQ,1753,2385,2200,08-Jun-23
197,Ratlam,A lot,Wheat,Medium,FAQ,1797,2226,2090,10-May-23
198,Ratlam,A lot,Wheat,Medium,FAQ,1800,2000,1900,23-Mar-23
199,Ratlam,A lot,Wheat,Medium,FAQ,1800,2000,1995,09-Apr-23
200,Ratlam,A lot,Wheat,Medium,FAQ,1800,2100,2050,25-Mar-23
201,Ratlam,A lot,Wheat,Medium,FAQ,1800,2200,2080,11-May-23
202,Ratlam,A lot,Wheat,Medium,FAQ,1800,2280,2205,10-Jul-23
203,Ratlam,A lot,Wheat,Medium,FAQ,1800,2300,2035,06-Mar-23
204,Ratlam,A lot,Wheat,Medium,FAQ,1800,2300,2035,07-Mar-23
205,Ratlam,A lot,Wheat,Medium,FAQ,1800,2300,2035,08-Mar-23
206,Ratlam,A lot,Wheat,Medium,FAQ,1800,2300,2040,26-Apr-23
207,Ratlam,A lot,Wheat,Medium,FAQ,1801,2406,2230,03-Jun-23
208,Ratlam,A lot,Wheat,Medium,FAQ,1801,2406,2230,04-Jun-23
209,Ratlam,A lot,Wheat,Medium,FAQ,1802,2250,2191,13-Jun-23
210,Ratlam,A lot,Wheat,Medium,FAQ,1812,2351,2245,12-Jun-23
211,Ratlam,A lot,Wheat,Medium,FAQ,1818,2262,2190,14-Jun-23
212,Ratlam,A lot,Wheat,Medium,FAQ,1818,2262,2190,16-Jun-23
213,Ratlam,A lot,Wheat,Medium,FAQ,1819,2212,2075,08-May-23
214,Ratlam,A lot,Wheat,Medium,FAQ,1819,2212,2075,09-May-23
215,Ratlam,A lot,Wheat,Medium,FAQ,1824,2450,2057,10-Apr-23
216,Ratlam,A lot,Wheat,Medium,FAQ,1825,2290,2157,19-May-23
217,Ratlam,A lot,Wheat,Medium,FAQ,1840,2174,2051,04-May-23
218,Ratlam,A lot,Wheat,Medium,FAQ,1840,2174,2051,05-May-23
219,Ratlam,A lot,Wheat,Medium,FAQ,1850,2110,2080,26-Mar-23
220,Ratlam,A lot,Wheat,Medium,FAQ,1876,2105,2068,29-Apr-23
221,Ratlam,A lot,Wheat,Medium,FAQ,1876,2105,2068,30-Apr-23
222,Ratlam,A lot,Wheat,Medium,FAQ,1876,2362,2230,07-Jun-23
223,Ratlam,A lot,Wheat,Medium,FAQ,1890,1981,1920,01-Apr-23
224,Ratlam,A lot,Wheat,Medium,FAQ,1899,2350,2240,27-May-23
225,Ratlam,A lot,Wheat,Medium,FAQ,1899,2350,2246,26-May-23
226,Ratlam,A lot,Wheat,Medium,FAQ,1900,1930,1910,04-Apr-23
227,Ratlam,A lot,Wheat,Medium,FAQ,1900,1980,1940,02-Apr-23
228,Ratlam,A lot,Wheat,Medium,FAQ,1900,2341,2231,06-Jun-23
229,Ratlam,A lot,Wheat,Medium,FAQ,1900,2351,2165,13-Jul-23
230,Ratlam,A lot,Wheat,Medium,FAQ,1900,2402,2232,19-Jul-23
231,Ratlam,A lot,Wheat,Medium,FAQ,1901,2301,2181,23-May-23
232,Ratlam,A lot,Wheat,Medium,FAQ,1907,2290,2231,09-Jun-23
233,Ratlam,A lot,Wheat,Medium,FAQ,1907,2290,2231,10-Jun-23
234,Ratlam,A lot,Wheat,Medium,FAQ,1907,2290,2231,11-Jun-23
235,Ratlam,A lot,Wheat,Medium,FAQ,1921,2340,2130,17-May-23
236,Ratlam,A lot,Wheat,Medium,FAQ,1927,2309,2170,20-May-23
237,Ratlam,A lot,Wheat,Medium,FAQ,1927,2309,2170,21-May-23
238,Ratlam,A lot,Wheat,Medium,FAQ,1927,2309,2170,22-May-23
239,Ratlam,A lot,Wheat,Medium,FAQ,1950,1980,1970,08-Apr-23
240,Ratlam,A lot,Wheat,Medium,FAQ,1951,2350,2150,25-Feb-23
241,Ratlam,A lot,Wheat,Medium,FAQ,1951,2351,2150,26-Feb-23
242,Ratlam,A lot,Wheat,Medium,FAQ,1952,2176,2070,01-May-23
243,Ratlam,A lot,Wheat,Medium,FAQ,1952,2176,2070,03-May-23
244,Ratlam,A lot,Wheat,Medium,FAQ,1952,2451,2250,21-Jul-23
245,Ratlam,A lot,Wheat,Medium,FAQ,1952,2451,2250,22-Jul-23
246,Ratlam,A lot,Wheat,Medium,FAQ,1965,2361,2230,22-Jun-23
247,Ratlam,A lot,Wheat,Medium,FAQ,1966,2240,2193,17-Jun-23
248,Ratlam,A lot,Wheat,Medium,FAQ,1966,2240,2193,18-Jun-23
249,Ratlam,A lot,Wheat,Medium,FAQ,1981,2183,2150,23-Feb-23
250,Ratlam,A lot,Wheat,Medium,FAQ,1981,2272,2200,19-Jun-23
251,Ratlam,A lot,Wheat,Medium,FAQ,1983,2340,2233,01-Jun-23
252,Ratlam,A lot,Wheat,Medium,FAQ,1985,2300,2125,16-May-23
253,Ratlam,A lot,Wheat,Medium,FAQ,2000,2320,2250,21-Jun-23
254,Ratlam,A lot,Wheat,Medium,FAQ,2000,2341,2240,27-Jun-23
255,Ratlam,A lot,Wheat,Medium,FAQ,2000,2450,2231,24-May-23
256,Ratlam,A lot,Wheat,Medium,FAQ,2000,2576,2291,25-Jul-23
257,Ratlam,A lot,Wheat,Medium,FAQ,2000,2576,2291,26-Jul-23
258,Ratlam,A lot,Wheat,Medium,FAQ,2001,2230,2172,22-Feb-23
259,Ratlam,A lot,Wheat,Medium,FAQ,2001,2410,2172,15-Jul-23
260,Ratlam,A lot,Wheat,Medium,FAQ,2001,2410,2172,16-Jul-23
261,Ratlam,A lot,Wheat,Medium,FAQ,2002,2266,2231,26-Jun-23
262,Ratlam,A lot,Wheat,Medium,FAQ,2007,2671,2390,04-Aug-23
263,Ratlam,A lot,Wheat,Medium,FAQ,2017,2154,2121,21-Feb-23
264,Ratlam,A lot,Wheat,Medium,FAQ,2021,2401,2235,23-Jun-23
265,Ratlam,A lot,Wheat,Medium,FAQ,2029,2350,2240,25-May-23
266,Ratlam,A lot,Wheat,Medium,FAQ,2031,2506,2190,02-Jul-23
267,Ratlam,A lot,Wheat,Medium,FAQ,2031,2506,2190,03-Jul-23
268,Ratlam,A lot,Wheat,Medium,FAQ,2037,2330,2225,02-Jun-23
269,Ratlam,A lot,Wheat,Medium,FAQ,2037,2453,2250,29-Jun-23
270,Ratlam,A lot,Wheat,Medium,FAQ,2050,2100,2100,25-Jun-23
271,Ratlam,A lot,Wheat,Medium,FAQ,2050,2386,2251,20-Jun-23
272,Ratlam,A lot,Wheat,Medium,FAQ,2050,2400,2175,14-Jul-23
273,Ratlam,A lot,Wheat,Medium,FAQ,2075,2429,2226,20-Jul-23
274,Ratlam,A lot,Wheat,Medium,FAQ,2075,2441,2192,11-Jul-23
275,Ratlam,A lot,Wheat,Medium,FAQ,2079,2145,2120,20-Feb-23
276,Ratlam,A lot,Wheat,Medium,FAQ,2090,2500,2289,24-Jul-23
277,Ratlam,A lot,Wheat,Medium,FAQ,2100,2130,2105,24-Jun-23
278,Ratlam,A lot,Wheat,Medium,FAQ,2101,2442,2365,11-Aug-23
279,Ratlam,A lot,Wheat,Medium,FAQ,2101,2442,2365,12-Aug-23
280,Ratlam,A lot,Wheat,Medium,FAQ,2101,2552,2365,23-Aug-23
281,Ratlam,A lot,Wheat,Medium,FAQ,2110,2120,2120,09-Jul-23
282,Ratlam,A lot,Wheat,Medium,FAQ,2116,2627,2238,05-Jul-23
283,Ratlam,A lot,Wheat,Medium,FAQ,2117,2350,2212,07-Jul-23
284,Ratlam,A lot,Wheat,Medium,FAQ,2117,2350,2212,08-Jul-23
285,Ratlam,A lot,Wheat,Medium,FAQ,2141,2475,2231,17-Jul-23
286,Ratlam,A lot,Wheat,Medium,FAQ,2166,2536,2300,27-Jul-23
287,Ratlam,A lot,Wheat,Medium,FAQ,2173,2301,2221,18-Jul-23
288,Ratlam,A lot,Wheat,Medium,FAQ,2200,2200,2200,03-Apr-23
289,Ratlam,A lot,Wheat,Medium,FAQ,2200,2200,2200,23-Jul-23
290,Ratlam,A lot,Wheat,Medium,FAQ,2200,2462,2385,14-Aug-23
291,Ratlam,A lot,Wheat,Medium,FAQ,2200,2462,2385,15-Aug-23
292,Ratlam,A lot,Wheat,Medium,FAQ,2200,2484,2395,16-Aug-23
293,Ratlam,A lot,Wheat,Medium,FAQ,2200,2649,2300,31-Jul-23
294,Ratlam,A lot,Wheat,Medium,FAQ,2251,2575,2404,03-Aug-23
295,Ratlam,A lot,Wheat,Medium,FAQ,2256,2333,2290,28-Jul-23
296,Ratlam,A lot,Wheat,Medium,FAQ,2256,2333,2290,29-Jul-23
297,Ratlam,A lot,Wheat,Medium,FAQ,2256,2333,2290,30-Jul-23
298,Ratlam,A lot,Wheat,Medium,FAQ,2272,2558,2382,17-Aug-23
299,Ratlam,A lot,Wheat,Medium,FAQ,2272,2591,2330,01-Aug-23
300,Ratlam,A lot,Wheat,Medium,FAQ,2300,2400,2350,15-Oct-23
301,Ratlam,A lot,Wheat,Medium,FAQ,2300,2502,2372,24-Aug-23
302,Ratlam,A lot,Wheat,Medium,FAQ,2300,2503,2410,10-Aug-23
303,Ratlam,A lot,Wheat,Medium,FAQ,2300,2535,2400,09-Aug-23
304,Ratlam,A lot,Wheat,Medium,FAQ,2301,2454,2404,18-Aug-23
305,Ratlam,A lot,Wheat,Medium,FAQ,2311,2556,2400,25-Aug-23
306,Ratlam,A lot,Wheat,Medium,FAQ,2311,2556,2400,26-Aug-23
307,Ratlam,A lot,Wheat,Medium,FAQ,2311,2556,2400,27-Aug-23
308,Ratlam,A lot,Wheat,Medium,FAQ,2321,2470,2400,05-Aug-23
309,Ratlam,A lot,Wheat,Medium,FAQ,2325,2450,2375,21-Aug-23
310,Ratlam,A lot,Wheat,Medium,FAQ,2331,2600,2417,07-Aug-23
311,Ratlam,A lot,Wheat,Medium,FAQ,2348,2716,2406,08-Aug-23
312,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,04-Sep-23
313,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,05-Sep-23
314,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,06-Sep-23
315,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,08-Sep-23
316,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,09-Sep-23
317,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,10-Sep-23
318,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,11-Sep-23
319,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,12-Sep-23
